Topic,Count,Name,Representation,Representative_Docs
-1,3854,-1_to_the_in_of,"['to', 'the', 'in', 'of', 'for', 'on', 'and', 'is', 'stock', 'as']","['Highlight: “I think over time you’re going to see more and more services that will include ads as we move away from…', '""In my time at the Fed, I\'ve seen how changes in business and consumer confidence impact the economy as a whole,"" P…', 'The Nasdaq Could Be In Trouble Before 2019 Is Out. Read more and sign up for updates:']"
0,3244,0_stock_on_results_dividend,"['stock', 'on', 'results', 'dividend', 'to', 'of', 'marketscreener', 'the', 'price', 'earnings']","['Total S.A. EPS beats by $0.16, misses on revenue', 'Edited Transcript of PLZ.UN.TO earnings conference call or presentation 7-Nov-19 7:00pm GMT', '$JEC - Jacobs Engineering Group Inc. 2019 Q4 - Results - Earnings Call Presentation. Sign up for updates on Seeking…']"
1,478,1_coronavirus_china_trade_the,"['coronavirus', 'china', 'trade', 'the', 'virus', 'to', 'as', 'us', 'in', 'hong']","['KUDLOW SAYS TRUMP IS NOT READY TO SIGN ANY TRADE DEAL WITH CHINA', 'US STOCKS-Futures gain as China fuels trade deal optimism', 'Hedge funds are buying stocks exposed to US-China trade on hopes for a deal']"
2,455,2_the_fed_in_to,"['the', 'fed', 'in', 'to', 'powell', 'us', 'are', 'jobs', 'of', 'is']","['The Fed may be about to get a lot more involved in the bond market (via @bopinion)', 'What to look for when Fed Chair Powell meets with Congress this week', ""'We know that there will be very likely some effects on the United States', said the Fed chairman Jay Powell about…""]"
3,362,3_the_uk_brexit_to,"['the', 'uk', 'brexit', 'to', 'trump', 'impeachment', 'in', 'boris', 'johnson', 'and']","[""The British pound hit two-and-a-half year highs, on growing confidence that next week's UK election will give the C…"", 'Boris Johnson and Jeremy Corbyn have radically different visions for the UK. What are their policies on Brexit, the…', 'What Boris Johnson and Jeremy Corbyn are promising for the Christmas Brexit election']"
4,264,4_the_to_coffee_of,"['the', 'to', 'coffee', 'of', 'retail', 'and', 'holiday', 'black', 'in', 'friday']","[""Your cup of coffee is going to cost you more in 2020. Here's why"", 'The new normal: Cyber Monday is exciting deal-hungry shoppers more than Black Friday this holiday season.', 'It’s a big week for the U.S. consumer, and not just because of the annual retail extravaganza of Black Friday']"
5,227,5_ceo_credit_suisse_cfo,"['ceo', 'credit', 'suisse', 'cfo', 'as', 'softbank', 'banks', 'to', 'ecb', 'new']","['Credit Suisse CEO Tidjane Thiam Resigns', ""Credit Suisse's Top Investor Wants Chairman to Follow CEO Out"", 'Credit Suisse’s Top Investor Wants Chairman to Follow CEO Out']"
6,179,6_tesla_uber_ford_cybertruck,"['tesla', 'uber', 'ford', 'cybertruck', 'teslas', 'the', 'electric', 'to', 'london', 'car']","['Uber Loses License In London', '$UBER - Uber CEO comments on London license loss', 'Tesla Chief Executive Elon Musk unveils the company’s electric Cybertruck, venturing into the pickup truck market,…']"
7,163,7_amazon_netflix_disney_cloud,"['amazon', 'netflix', 'disney', 'cloud', 'apple', 'to', 'frozen', 'the', 'is', 'microsoft']","['Disney Is Ready to Drop a Bomb on Netflix in This Huge Market', ""One week in, Netflix's stock is weathering Disney+"", 'Why Disney+ is the only service that can rival Netflix']"
8,81,8_energy_climate_renewable_solar,"['energy', 'climate', 'renewable', 'solar', 'carbon', 'the', 'in', 'and', 'to', 'xle']","['$XLE: Sector Briefing: Energy', '$XLE: Sector Briefing: Energy', 'Renewable Energy and Tallgrass Energy among Energy/Materials gainers; Lonestar Resources and Pacific Drilling among losers']"
9,70,9_max_boeing_737_airbus,"['max', 'boeing', '737', 'airbus', 'boeings', 'redesign', 'planes', 'faa', 'production', 'plane']","['Boeing to give Southwest board 737 MAX update this week', 'Boeing Forced to Halt 737 MAX Production', 'Boeing to suspend 737 Max production in January']"
10,60,10_5g_huawei_ericsson_us,"['5g', 'huawei', 'ericsson', 'us', 'nokia', 'auction', 'qualcomm', 'spectrum', 'in', 'of']","['Telenor says Huawei will still play role in 5G rollout', 'China Threatens Germany With Retaliation If Huawei 5G Is Banned', 'China Threatens Retaliation Should Germany Ban Huawei 5G']"
11,37,11_women_the_her_woman,"['women', 'the', 'her', 'woman', 'is', 'thinking', 'volcker', 'gender', 'weworks', 'wear']","['Research by the American Bar Association reveals that women now represent just over 22% of all partners and 19% of…', 'Meet Adrenaline, the first female hero in the 60-year history of Asterix comics. She made her first appearance in…', 'Lucille Brobbey: Black women should be able to walk into the office with pride and wear their afro or braids withou…']"
12,37,12_de_en_di_il,"['de', 'en', 'di', 'il', 'voor', 'per', 'la', 'von', 'riassunto', '19']","['EL GRUPO IBERCHEM CIERRA EL AÑO CON LA COMPRA DE DOS COMPAÑÍAS DE AROMAS Y UN CRECIMIENTO DEL 19%', 'Riassunto: Le giapponesi NEDO e Panasonic raggiungono il più alto rendimento di conversione al mondo, pari al 16,09%, per il modulo a celle solari perovskitiche dalla superficie più estesa', 'Recordjaar voor de Iberchem-groep met voltooiing van de overname van twee smaakstoffenfabrikanten en 19% omzetgroei']"
13,32,13_lvmh_tiffany_jewelry_luxury,"['lvmh', 'tiffany', 'jewelry', 'luxury', 'billion', 'deal', '162', 'museum', 'co', 'french']","['LUXURY PURCHASE: French conglomerate LVMH is close to a deal to buy Tiffany & Co. for more than $16 billion', 'LVMH agreed to buy Tiffany for more than $16 billion in the largest luxury-goods deal ever', 'LVMH to buy Tiffany for $16.2 billion']"
